Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Baden-Württemberg,NA,Fraunhofer-Institut für Physikalische Messtechnik (IPM),Fraunhofer Institute for Physical Measurement Techniques (IPM),NA,NA,NA,grid.461631.7,NA,10684,Georges-Köhler-Allee,301,NA,79110,Freiburg,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,"Steuerungs-, Mess- und Regelungstechnik",NA,NA,NA,http://www.gerit.org/de/institutiondetail/10684,,www.ipm.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,NA,Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA,Fraunhofer Institute for Manufacturing Engineering and Automation IPA,NA,NA,NA,grid.469833.3,NA,10689,Nobelstraße,12,NA,70569,Stuttgart,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Produktions- und Fertigungstechnologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10689,,www.ipa.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,NA,Fraunhofer-Institut Informationszentrum Raum und Bau (IRB),Fraunhofer Information Centre for Planning and Building (IRB),NA,NA,NA,NA,NA,10690,Nobelstraße,12,NA,70569,Stuttgart,Ingenieurwissenschaften,Raumplanung,Raumplanung allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10690,,irb.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,Charité - University Medicine Berlin,https://ror.org/001w7jn25,grid.6363.0,grid.6363.0,NA,10426,Charitéplatz,1,NA,10117,Berlin,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,501100002839,NA,NA,http://www.gerit.org/de/institutiondetail/10426,,www.charite.de/,Universität,Universität,university,bibliothek.charite.de/publizieren/open_access/,21.11.2020,Jenny Delasalle,bibliothek.charite.de/metas/person/person/address_detail/delasalle/,21.11.2020,,Open-Access-Team,bibliothek.charite.de/publizieren/publikationsfonds/,21.11.2020,openaccess@charite.de,nein,,,in Arbeit Stand: 21.11.2020,,,ja,DFG-Kofinanziert,ja,bibliothek.charite.de/publizieren/publikationsfonds/,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,refubium.fu-berlin.de/,,ja,23.05.2018,nen,,nein,"Jinan Abi Abi Jumaa, Michael Ewers, 
 Corinna Hartling, Agnieszka J. Szczepek, Merlin Bittlinger, 
 Martin Textor, Priyanka Banerjee, Wiebke Stritter, Yasmine Said, Georgios Kararigas, 
 Muhammad Raza",nein,21.11.2020
Berlin,Deutsches Institut für Wirtschaftsforschung (DIW),Deutsches Institut für Wirtschaftsforschung (DIW),German Institute for Economic Research (DIW),German Institute for Economic Research,https://ror.org/0050vmv35,grid.8465.f,grid.8465.f,Q155228,10497,Mohrenstraße,58,NA,10117,Berlin,"Rechts-, Wirtschafts- und Sozialwissenschaften",Wirtschaftswissenschaften,Wirtschaftswissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10497,www.diw.de/deutsch,www.diw.de/deutsch,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Deutsches Rheuma-Forschungszentrum Berlin (DRFZ),Deutsches Rheuma-Forschungszentrum Berlin (DRFZ),German Rheumatism Research Centre Berlin (DRFZ),German Rheumatism Research Centre,https://ror.org/00shv0x82,grid.418217.9,grid.418217.9,Q1205927,10418,Charitéplatz,1,NA,10117,Berlin,Humanmedizin/Gesundheitswissenschaften,Klinisch-Praktische Humanmedizin (ohne Zahnmedizin),Rheumatologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10418,www.drfz.de/,www.drfz.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,"Ferdinand-Braun-Institut gGmbH, Leibniz-Institut für Höchstfrequenztechnik (FBH)","Ferdinand-Braun-Institut gGmbH, Leibniz-Institut für Höchstfrequenztechnik (FBH)","Ferdinand-Braun-Institut gGmbH, Leibniz-Institut fuer Hoechstfrequenztechnik (FBH)",Ferdinand-Braun-Institut,https://ror.org/02be22443,grid.450248.f,grid.450248.f,Q1405041,10509,Gustav-Kirchhoff-Straße,4,NA,12489,Berlin,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Kommunikations- und Informationstechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10509,www.fbh-berlin.de/,www.fbh-berlin.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI),Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI),Fritz Haber Institute of the Max Planck Society (FHI),Fritz Haber Institute of the Max Planck Society,https://ror.org/03k9qs827,grid.418028.7,grid.418028.7,Q514590,10172,Faradayweg,4-6,NA,14195,Berlin,"Mathematik, Naturwissenschaften",Chemie,Chemie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10172,www.fhi-berlin.mpg.de,www.fhi-berlin.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.fhi.mpg.de/112742/open-access,26.02.2021,Uta Siebeky,www.fhi.mpg.de/112742/open-access,26.02.2021,,Uta Siebeky,openaccess.mpg.de/318587/MPG-Open-Access-Network,26.02.2021,library@fhi-berlin.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Berlin,Helmholtz-Gemeinschaft,Helmholtz-Gemeinschaft,Helmholtz Association,Helmholtz Association of German Research Centres,https://ror.org/0281dp749,grid.211011.2,grid.211011.2,Q679913,28912,Ahrstraße,45,NA,53175,Bonn,"Mathematik, Naturwissenschaften","Mathematik, Naturwissenschaften allgemein",Interdisziplinäre Studien (Schwerpunkt Naturwissenschaft),NA,NA,NA,http://www.gerit.org/de/institutiondetail/28912,www.helmholtz.de,www.helmholtz.de,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,https://os.helmholtz.de/,06.04.2021,,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/,06.04.2021,keine zentral beauftragte Person,,,06.04.2021,,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,,,,,,,06.04.2021,,,,ja,22.10.2003,ja,21.03.2016,,,,
Berlin,Helmholtz-Zentrum Berlin für Materialien und Energie GmbH (HZB),Helmholtz-Zentrum Berlin für Materialien und Energie GmbH (HZB),Helmholtz-Zentrum Berlin für Materialien und Energie (HZB),Helmholtz-Zentrum Berlin für Materialien und Energie,https://ror.org/02aj13c28,grid.424048.e,grid.424048.e,Q314578,10423,Hahn-Meitner-Platz,1,NA,14109,Berlin,"Mathematik, Naturwissenschaften","Physik, Astronomie",Materialphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10423,www.helmholtz-berlin.de/,www.helmholtz-berlin.de/,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,www.helmholtz-berlin.de/zentrum/locations/bibliothek/themen/openaccessgenerell/intern_de.html,14.12.2020,Dr. Andreas Tomiak,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,04.01.2021,,,,04.01.2021,tomiak[at]helmholtz-berlin.de,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,08.02.2021,,www.helmholtz-berlin.de/forschung/publikationen_de.html,,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,08.02.2021
Berlin,Helmut-Schmidt-Universität,Helmut-Schmidt-Universität,Helmut Schmidt University,Helmut Schmidt University,https://ror.org/04e8jbs38,grid.49096.32,grid.49096.32,NA,10196,Holstenhofweg,85,NA,22043,Hamburg,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10196,,www.hsu-hh.de,Universität,Universität,university,www.ub.hu-berlin.de/de/forschen-publizieren/open-access,23.11.2020,Prof. Dr. Andreas Degkwitz,www.ub.hu-berlin.de/de/forschen-publizieren/open-access,23.11.2020,,Open-Access-Team,www.ub.hu-berlin.de/de/forschen-publizieren/open-access/kontakt-und-beratung,23.11.2020,openaccess@ub.hu-berlin.de,ja,09.05.2006,www.ub.hu-berlin.de/de/forschen-publizieren/open-access/open-access-erklaerung,,,,ja,DFG-Kofinanziert,ja,www.ub.hu-berlin.de/de/forschen-publizieren/open-access/finanzierung/publikationsfonds-zeitschriftenartikel,ja,www.ub.hu-berlin.de/de/forschen-publizieren/open-access/finanzierung/publikationsfonds-monografien,23.11.2020,,edoc.hu-berlin.de/,www.ub.hu-berlin.de/de/forschen-publizieren/open-access/preis,ja,09.05.2006,nein,,nein,"Matthias König, 
 Boike Rehbein, 
 Aneas Herrmann, Thomas Buerk, 
 Lyudmyla Kovalenko, Aouefa Amoussouvi, Martin Reinhart, 
 Marion Rivalan, Curren Katz",nein,23.11.2020
Berlin,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992,grid.7468.d,grid.7468.d,NA,10365,Unter den Linden,6,NA,10099,Berlin,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10365,,www.hu-berlin.de/de,Universität,Universität,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP),Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP),Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP),Leibniz-Forschungsinstitut für Molekulare Pharmakologie,https://ror.org/010s54n03,grid.418832.4,NA,Q1813742,10422,Robert-Rössle-Straße,10,NA,13125,Berlin,"Mathematik, Naturwissenschaften",Pharmazie,Pharmakologie und Toxikologie (Pharmazie),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10422,www.leibniz-fmp.de/,www.leibniz-fmp.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.leibniz-fmp.de/de/the-screening-unit/open-access-platform,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Leibniz-Gemeinschaft,Leibniz-Gemeinschaft,Leibniz Association,Leibniz Association,https://ror.org/01n6r0e97,grid.413453.4,grid.413453.4,Q680090,52527851,Chausseestraße,111,NA,10115,Berlin,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Zentrale wissenschaftliche Einrichtungen,Zentrale wissenschaftliche Einrichtungen allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/52527851,www.leibniz-gemeinschaft.de/start/,www.leibniz-gemeinschaft.de/start/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access.html,26.02.2021,,,26.02.2021,keine Hinweise,Olaf Siegert,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/ansprechpartnerinnen-und-ansprechpartner.html,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,Eigenmittel,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Leibniz-Institut für Gewässerökologie und Binnenfischerei (IGB),Leibniz-Institut für Gewässerökologie und Binnenfischerei (IGB),Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB),Leibniz Institute of Freshwater Ecology and Inland Fisheries,https://ror.org/01nftxb06,grid.419247.d,NA,Q1813732,10506,Müggelseedamm,310,NA,12587,Berlin,"Mathematik, Naturwissenschaften",Biologie,Ökologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10506,www.igb-berlin.de/,www.igb-berlin.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.igb-berlin.de/bibliothek,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,06.12.2019,https://www.igb-berlin.de/news/open-access-policy-fuers-igb,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,Georg B.O. Staaks,nein,26.02.2021
Berlin,Leibniz-Institut für Kristallzüchtung (IKZ),Leibniz-Institut für Kristallzüchtung (IKZ),Leibniz Institute for Crystal Growth (IKZ),Leibniz Institute for Crystal Growth,https://ror.org/037p86664,grid.461795.8,grid.461795.8,Q1813738,10510,Max-Born-Straße,2,NA,12489,Berlin,"Mathematik, Naturwissenschaften",Geowissenschaften (ohne Geographie),Kristallographie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10510,www.ikz-berlin.de/de/,www.ikz-berlin.de/de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Leibniz-Institut für Zoo- und Wildtierforschung (IZW),Leibniz-Institut für Zoo- und Wildtierforschung (IZW),Leibniz Institute for Zoo and Wildlife Research (IZW),Leibniz Institute for Zoo and Wildlife Research,https://ror.org/05nywn832,grid.418779.4,grid.418779.4,Q1813770,10511,NA,NA,Postfach 70 04 30,10324,Berlin,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Vorklinische Veterinärmedizin,Vorklin. Veterinärmedizin allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10511,www.izw-berlin.de,www.izw-berlin.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,http://www.izw-berlin.de/en/library.html,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Leibniz-Zentrum Allgemeine Sprachwissenschaft (ZAS),Leibniz-Zentrum Allgemeine Sprachwissenschaft (ZAS),Leibniz-Centre General Linguistics (ZAS),Leibniz-Centre General Linguistics,https://ror.org/03wz9xk91,grid.473828.2,grid.473828.2,Q19819891,20751708,Schützenstraße,18,NA,10117,Berlin,Geisteswissenschaften,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,Allg. und vergleichende Sprachwissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/20751708,www.leibniz-zas.de/,www.leibniz-zas.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.leibniz-zas.de/de/service-transfer/bibliothek/open-access-am-zas,26.02.2021,,,26.02.2021,keine Hinweise,Christina Beckmann,https://www.leibniz-zas.de/de/service-transfer/bibliothek/open-access-am-zas,26.02.2021,beckmann@leibniz-zas.de,ja,20.04.2017,https://www.leibniz-zas.de/de/service-transfer/bibliothek/open-access-am-zas,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Leibniz-Zentrum für Literatur- und Kulturforschung,Leibniz-Zentrum für Literatur- und Kulturforschung,Leibniz-Zentrum für Literatur- und Kulturforschung,Leibniz-Zentrum für Literatur- und Kulturforschung,https://ror.org/00bpta863,grid.461667.4,grid.461667.4,Q191229,10753,Schützenstraße,18,NA,10117,Berlin,Geisteswissenschaften,Allgemeine und vergleichende Literatur- und Sprachwissenschaft,Allg. und vergleichende Literaturwissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10753,www.zfl-berlin.org/,www.zfl-berlin.org/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.zfl-berlin.org/zfl-open-access.html,26.02.2021,Dr. Gwendolin Engels,https://www.zfl-berlin.org/zfl-open-access.html,26.02.2021,,,,26.02.2021,engels@zfl-berlin.org,ja,12.2019,https://www.zfl-berlin.org/zfl-open-access.html,,,,nein,,,,,,26.02.2021,,http://compare.accessiweb.org/index.php/Compare_project,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Leibniz-Zentrum Moderner Orient (ZMO),Leibniz-Zentrum Moderner Orient (ZMO),Leibniz-Zentrum Moderner Orient (ZMO),Leibniz-Zentrum Moderner Orient,https://ror.org/03ty9wj75,grid.462335.5,grid.462335.5,Q5062518,10754,Kirchweg,33,NA,14129,Berlin,Geisteswissenschaften,Sonstige/Außereuropäische Sprach- und Kulturwissenschaften,Orientalistik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10754,www.zmo.de,www.zmo.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,"Svenja Becherer, Thomas Ripper",https://archiv.zmo.de/publikationen/Open-Access-Policy_zmo_1_2018.pdf,26.02.2021,svenja.becherer@zmo.de;,ja,,https://archiv.zmo.de/publikationen/index.html,keine Datumsangabe,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie (MBI),Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie (MBI),Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy im Forschungsbund Berlin e.V. (MBI),Max-Born-Institute for Nonlinear Optics and Short Pulse Spectroscopy,https://ror.org/03jbf6q27,grid.419569.6,NA,Q1912011,10508,Max-Born-Straße,2 A,NA,12489,Berlin,"Mathematik, Naturwissenschaften","Physik, Astronomie",Optik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10508,www.mbi-berlin.de/de/startseite,www.mbi-berlin.de/de/startseite,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Berlin,Max-Delbrück-Centrum für Molekulare Medizin (MDC) in der Helmholtz-Gemeinschaft,Max-Delbrück-Centrum für Molekulare Medizin (MDC) in der Helmholtz-Gemeinschaft,Max Delbrück Center for Molecular Medicine (MDC) in the Helmholtz Association,Max Delbrück Center for Molecular Medicine,https://ror.org/04p5ggc03,grid.419491.0,grid.419491.0,Q1912019,10420,Robert-Rössle-Straße,10,NA,13125,Berlin,Humanmedizin/Gesundheitswissenschaften,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Experimentelle Medizin/Medizinforschung (ohne klinische Medizin),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10420,www.mdc-berlin.de/,www.mdc-berlin.de/,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,www.mdc-berlin.de/de/about-the-mdc/structure/administration/library/oa-0,14.12.2020,Prof. Dr. Ingo Morano,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,04.01.2021,,,,04.01.2021,imorano[at]mdc-berlin.de,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,ja,Eigenmittel,ja,www.mdc-berlin.de/de/about_the_mdc/structure/administration/library/oa/Publikationsgebuehren,nein,,12.02.2021,,edoc.mdc-berlin.de/,,ja,23.05.2018,ja,21.03.2016,ja,Alexander Georg Baltz,nein,12.02.2021
