"","DOIs","publication_year","resource_type"
"12005","10.1002/ange.201707391",2017,"journal-article"
"12006","10.1002/anie.201607864",2016,"journal-article"
"12007","10.1021/acs.orglett.6b00941",2016,"journal-article"
"12008","10.1080/23746149.2017.1404436",2018,"journal-article"
"12009","10.1039/c8dt00121a",2018,"journal-article"
"12010","10.1093/jhps/hny043",2018,"journal-article"
"12011","10.3139/147.110474",2017,"journal-article"
"12012","10.1093/nar/gkaa166",2020,"journal-article"
"12013","10.1021/acs.accounts.7b00226",2017,"journal-article"
"12014","10.1021/acs.orglett.7b03279",2017,"journal-article"
"12015","10.33920/10.33920/igt-01-2105-01",2021,"journal-article"
"12016","10.1002/cbic.201700666",2018,"journal-article"
"12017","10.1063/1.4984032",2017,"journal-article"
"12018","10.1039/d0ta04250a",2020,"journal-article"
"12019","10.2807/1560-7917.es.2016.21.5.30122",2016,"journal-article"
"12020","10.1002/ana.25479",2019,"journal-article"
"12021","10.1111/all.13271",2017,"journal-article"
"12022","10.1055/s-0038-1671534",2018,"proceedings-article"
"12023","10.1002/aps.1702",2021,"journal-article"
"12024","10.1002/zamm.201600057",2016,"journal-article"
"12025","10.1055/a-1270-8258",2020,"journal-article"
"12026","10.1063/1.5100267",2019,"journal-article"
"12027","10.1002/ange.202016664",2021,"journal-article"
"12028","10.1002/anie.202016664",2021,"journal-article"
"12029","10.1002/cphc.202000901",2020,"journal-article"
"12030","10.1115/1.4046447",2020,"journal-article"
"12031","10.1002/chem.202003764",2020,"journal-article"
"12032","10.1002/zaac.201800240",2018,"journal-article"
"12033","10.1002/chem.201601981",2016,"journal-article"
"12034","10.1021/acs.organomet.6b00110",2016,"journal-article"
"12035","10.3920/bm2020.0226",2021,"journal-article"
"12036","10.1063/5.0003005",2020,"journal-article"
"12037","10.1093/jee/toz123",2019,"journal-article"
"12038","10.1177/155698451601100102",2016,"journal-article"
"12039","10.1002/ckon.202100017",2021,"journal-article"
"12040","10.1080/10508619.2020.1748295",2020,"journal-article"
"12041","10.1155/2015/145154",2015,"journal-article"
"12042","10.1063/1.4935707",2015,"journal-article"
"12043","10.1039/c6dt03073d",2016,"journal-article"
"12044","10.1128/jvi.00131-21",2021,"journal-article"
"12045","10.1093/ehjci/jeaa327",2020,"journal-article"
"12046","10.1002/cite.201600140",2017,"journal-article"
"12047","10.1021/acs.orglett.7b00836",2017,"journal-article"
"12048","10.23919/glc.2018.8319096",2018,"proceedings-article"
"12049","10.1093/eurpub/cky212.860",2018,"journal-article"
"12050","10.1002/pssb.202000295",2020,"journal-article"
"12051","10.1055/s-0040-1718213",2020,"proceedings-article"
"12052","10.1002/sctm.17-0282",2018,"journal-article"
"12053","10.1121/1.5051453",2018,"journal-article"
"12054","10.1002/chem.201901607",2019,"journal-article"
"12055","10.1111/bjd.13307",2015,"journal-article"
"12056","10.1063/1.5066099",2019,"journal-article"
"12057","10.1161/strokeaha.119.026100",2019,"journal-article"
"12058","10.1111/all.14037",2019,"journal-article"
"12059","10.1002/aenm.201402148",2015,"journal-article"
"12060","10.1080/00268976.2020.1836410",2020,"journal-article"
"12061","10.1093/mnras/stz677",2019,"journal-article"
"12062","10.1039/c6ra13615j",2016,"journal-article"
"12063","10.1002/ange.201785061",2017,"journal-article"
"12064","10.1167/iovs.16-19249",2017,"journal-article"
"12065","10.1002/ange.201712999",2018,"journal-article"
"12066","10.1093/ckj/sfx145",2018,"journal-article"
"12067","10.1002/net.21832",2018,"journal-article"
"12068","10.1177/1971400921989325",2021,"journal-article"
"12069","10.1109/etfa.2018.8502527",2018,"proceedings-article"
"12070","10.1039/d0dt02023k",2020,"journal-article"
"12071","10.1515/auto-2018-0068",2018,"journal-article"
"12072","10.1155/2015/457318",2015,"journal-article"
"12073","10.1002/chem.202100261",2021,"journal-article"
"12074","10.1002/chem.201605496",2017,"journal-article"
"12075","10.1021/acs.chemmater.6b02619",2016,"journal-article"
"12076","10.1021/acs.analchem.5b01985",2015,"journal-article"
"12077","10.1021/acs.jpcb.0c08851",2021,"journal-article"
"12078","10.1515/itit-2019-0023",2019,"journal-article"
"12079","10.1200/jco.2019.37.15_suppl.e18033",2019,"journal-article"
"12080","10.1111/bcp.13992",2019,"journal-article"
"12081","10.1109/ic2e.2015.77",2015,"proceedings-article"
"12082","10.1111/spsr.12446",2021,"journal-article"
"12083","10.1002/phar.1573",2015,"journal-article"
"12084","10.1111/anae.14228",2018,"journal-article"
"12085","10.1111/jcpt.12456",2016,"journal-article"
"12086","10.1002/ehf2.12628",2020,"journal-article"
"12087","10.1128/aem.02234-18",2019,"journal-article"
"12088","10.1002/jmor.20367",2015,"journal-article"
"12089","10.1021/acs.jpca.1c04711",2021,"journal-article"
"12090","10.1002/adfm.201807419",2018,"journal-article"
"12091","10.1063/1.4995229",2017,"journal-article"
"12092","10.1063/1.4964294",2016,"journal-article"
"12093","10.1021/acs.jafc.8b04158",2018,"journal-article"
"12094","10.1016/j.juro.2016.03.009",2016,"journal-article"
"12095","10.1021/acs.jafc.1c02388",2021,"journal-article"
"12096","10.1039/c6dt03766f",2017,"journal-article"
"12097","10.1001/jamapsychiatry.2019.1937",2019,"journal-article"
"12098","10.1155/2015/235184",2015,"journal-article"
"12099","10.1093/ehjci/jez319.471",2020,"journal-article"
"12100","10.1142/s2424905x17500039",2017,"journal-article"
"12101","10.1063/1.4922138",2015,"journal-article"
"12102","10.1002/dmrr.3056",2018,"journal-article"
"12103","10.1002/mame.202000688",2021,"journal-article"
"12104","10.1002/anie.201902314",2019,"journal-article"
"12105","10.1021/acs.jpclett.9b00356",2019,"journal-article"
"12106","10.1021/acs.nanolett.8b01305",2018,"journal-article"
"12107","10.1021/ja511154y",2015,"journal-article"
"12108","10.1080/03639045.2017.1285309",2017,"journal-article"
"12109","10.1084/jem.20161784",2017,"journal-article"
"12110","10.1002/hec.3663",2018,"journal-article"
"12111","10.1111/1755-6724.13909",2019,"journal-article"
"12112","10.1515/mgzs-2017-0004",2017,"journal-article"
"12113","10.1021/jp511928m",2015,"journal-article"
"12114","10.1021/acs.biomac.7b00158",2017,"journal-article"
"12115","10.21203/rs.2.21286/v1",2020,"posted-content"
"12116","10.1002/ejhf.2059",2021,"journal-article"
"12117","10.1093/eurpub/ckz186.048",2019,"journal-article"
"12118","10.1002/jcsm.12657",2020,"journal-article"
"12119","10.1111/jdv.13179",2015,"journal-article"
"12120","10.1063/1.5044383",2018,"journal-article"
"12121","10.1111/all.14247",2020,"journal-article"
"12122","10.1063/1.4983030",2017,"journal-article"
"12123","10.1021/acs.langmuir.7b04265",2018,"journal-article"
"12124","10.1039/c6cp08366h",2017,"journal-article"
"12125","10.1111/pce.13494",2019,"journal-article"
"12126","10.1055/a-0667-8198",2018,"journal-article"
"12127","10.1145/2851613.2851738",2016,"proceedings-article"
"12128","10.1089/thy.2014.0301",2015,"journal-article"
"12129","10.1111/apha.12641",2016,"journal-article"
"12130","10.1080/09377255.2019.1598607",2019,"journal-article"
"12131","10.21203/rs.3.rs-36214/v1",2020,"posted-content"
"12132","10.1080/13607863.2018.1515889",2018,"journal-article"
"12133","10.1039/c6ob02271e",2016,"journal-article"
"12134","10.1128/genomea.00325-18",2018,"journal-article"
"12135","10.1093/ehjcr/ytab045",2021,"journal-article"
"12136","10.1002/ange.201902314",2019,"journal-article"
"12137","10.1021/acs.jpcb.6b05800",2016,"journal-article"
"12138","10.1200/jco.2020.38.15_suppl.6574",2020,"journal-article"
"12139","10.1109/icsj.2016.7801251",2016,"proceedings-article"
"12140","10.1089/ars.2014.6162",2015,"journal-article"
"12141","10.1111/brv.12422",2018,"journal-article"
"12142","10.1063/1.4906195",2015,"journal-article"
"12143","10.1177/0284185115580839",2015,"journal-article"
"12144","10.1055/s-0039-1686195",2019,"proceedings-article"
"12145","10.15252/embj.201591553",2015,"journal-article"
"12146","10.1093/ser/mwab023",2021,"journal-article"
"12147","10.1055/s-0038-1641463",2018,"proceedings-article"
"12148","10.1002/erv.2425",2015,"journal-article"
"12149","10.1109/estc.2016.7764695",2016,"proceedings-article"
"12150","10.1055/a-1524-3178",2021,"journal-article"
"12151","10.1002/anie.201712999",2018,"journal-article"
"12152","10.1055/s-0037-1600112",2017,"journal-article"
"12153","10.1002/anie.201801710",2018,"journal-article"
"12154","10.1039/c6cp07251h",2017,"journal-article"
"12155","10.4071/2380-4505-2018.1.000628",2018,"journal-article"
"12156","10.1055/a-0651-0830",2018,"journal-article"
"12157","10.1002/ejic.201901356",2020,"journal-article"
"12158","10.1111/jdv.16240",2020,"journal-article"
"12159","10.1039/c9ta09775a",2020,"journal-article"
"12160","10.3139/147.110504",2020,"journal-article"
"12161","10.1177/1534735420940384",2020,"journal-article"
"12162","10.1111/vcp.12264",2015,"journal-article"
"12163","10.1002/wat2.1202",2017,"journal-article"
"12164","10.1111/eci.12493",2015,"journal-article"
"12165","10.4315/jfp-20-491",2021,"journal-article"
"12166","10.1002/cche.10203",2019,"journal-article"
"12167","10.1002/zaac.201800395",2018,"journal-article"
"12168","10.1002/anie.201704979",2017,"journal-article"
"12169","10.1021/acs.accounts.7b00089",2017,"journal-article"
"12170","10.21203/rs.3.rs-49509/v2",2020,"posted-content"
"12171","10.1055/s-0037-1605185",2017,"proceedings-article"
"12172","10.1002/pssa.201670643",2016,"journal-article"
"12173","10.1111/ele.13463",2020,"journal-article"
"12174","10.1515/ang-2018-0013",2018,"journal-article"
"12175","10.1515/jcde-2018-0016",2018,"journal-article"
"12176","10.1515/ang-2018-0008",2018,"journal-article"
"12177","10.1177/1045389x17705538",2017,"journal-article"
"12178","10.1063/1.5142443",2020,"journal-article"
"12179","10.1177/2047487318786579",2018,"journal-article"
"12180","10.1142/9789811200489_0009",2019,"proceedings-article"
"12181","10.1080/17502977.2018.1546475",2018,"journal-article"
"12182","10.1080/00268976.2021.1875078",2021,"journal-article"
"12183","10.1080/09692290.2019.1650796",2019,"journal-article"
"12184","10.1021/acs.jpcb.9b08295",2019,"journal-article"
"12185","10.1089/ten.tec.2017.0369",2018,"journal-article"
"12186","10.1002/mrm.25982",2015,"journal-article"
"12187","10.1109/dcc50243.2021.00008",2021,"proceedings-article"
"12188","10.1115/pvp2016-63192",2016,"proceedings-article"
"12189","10.1055/s-0041-101018",2015,"journal-article"
"12190","10.1093/europace/euy015.123",2018,"journal-article"
"12191","10.1055/s-0041-101454",2015,"journal-article"
"12192","10.1055/s-0040-1717751",2020,"proceedings-article"
"12193","10.1002/hon.2438_123",2017,"journal-article"
"12194","10.1089/ten.tea.2019.0310",2020,"journal-article"
"12195","10.1063/1.5053593",2019,"journal-article"
"12196","10.1111/cei.12988",2017,"journal-article"
"12197","10.1111/apha.12597",2015,"journal-article"
"12198","10.7287/peerj.preprints.1837v1",2016,"posted-content"
"12199","10.1063/1.5007876",2017,"journal-article"
"12200","10.1002/lemi.202153010",2021,"journal-article"
"12201","10.2514/6.2021-1413",2021,"proceedings-article"
"12202","10.1115/gt2020-14665",2020,"proceedings-article"
"12203","10.1109/acssc.2018.8645396",2018,"proceedings-article"
"12204","10.1145/3449726.3459488",2021,"proceedings-article"
"12205","10.1177/1478929920929886",2020,"journal-article"
"12206","10.1177/0300985817709888",2017,"journal-article"
"12207","10.1128/genomea.00763-17",2017,"journal-article"
"12208","10.1042/bcj20210224",2021,"journal-article"
"12209","10.1515/cdbme-2019-0017",2019,"journal-article"
"12210","10.1063/1.4985705",2017,"journal-article"
"12211","10.1155/2017/2748192",2017,"journal-article"
"12212","10.1002/ett.3184",2017,"journal-article"
"12213","10.12659/ajcr.908999",2018,"journal-article"
"12214","10.1302/1863-2548.14.200033",2020,"journal-article"
"12215","10.1111/nyas.13383",2017,"journal-article"
"12216","10.1111/acem.14349",2021,"journal-article"
"12217","10.1111/apha.13435",2020,"journal-article"
"12218","10.1177/1932296820936634",2020,"journal-article"
"12219","10.1055/s-0035-1567154",2017,"journal-article"
"12220","10.1002/pssa.201532944",2016,"journal-article"
"12221","10.2174/1567205014666170523094526",2017,"journal-article"
"12222","10.1021/acsami.9b20327",2020,"journal-article"
"12223","10.1063/1.4990797",2017,"journal-article"
"12224","10.1055/s-0038-1669012",2018,"journal-article"
"12225","10.1055/s-0039-3401255",2019,"proceedings-article"
"12226","10.1002/rmv.1997",2018,"journal-article"
"12227","10.1002/ijc.31845",2018,"journal-article"
"12228","10.1063/1.4927429",2015,"journal-article"
"12229","10.1021/bc500608f",2015,"journal-article"
"12230","10.1055/s-0043-101700",2017,"journal-article"
"12231","10.1063/5.0023005",2020,"journal-article"
"12232","10.1002/ejhf.1619",2019,"journal-article"
"12233","10.15252/emmm.201911801",2020,"journal-article"
"12234","10.1055/a-1138-0389",2020,"journal-article"
"12235","10.1109/mc.2020.3017466",2021,"journal-article"
"12236","10.1002/adfm.201970013",2019,"journal-article"
"12237","10.1093/gji/ggaa234",2020,"journal-article"
"12238","10.1111/apha.12549",2015,"journal-article"
"12239","10.1080/13691066.2018.1526863",2018,"journal-article"
"12240","10.14220/mdge.2019.66.2.167",2019,"journal-article"
"12241","10.1002/uog.21439",2019,"journal-article"
"12242","10.1080/23299460.2017.1326260",2017,"journal-article"
"12243","10.1115/1.4051558",2021,"journal-article"
"12244","10.1039/c7sc01657c",2017,"journal-article"
"12245","10.1021/acsaem.0c00028",2020,"journal-article"
"12246","10.1055/s-0039-1685636",2019,"proceedings-article"
"12247","10.21203/rs.3.rs-49509/v3",2020,"posted-content"
"12248","10.7287/peerj.preprints.2614v2",2017,"posted-content"
"12249","10.7287/peerj.preprints.3257v1",2017,"posted-content"
"12250","10.1115/omae2018-78020",2018,"proceedings-article"
"12251","10.1002/dmrr.2786",2016,"journal-article"
"12252","10.3109/19401736.2015.1025263",2015,"journal-article"
"12253","10.1055/s-0039-1686421",2019,"proceedings-article"
"12254","10.1080/14992027.2020.1839678",2020,"journal-article"
"12255","10.1080/14728222.2018.1409724",2017,"journal-article"
"12256","10.1039/c5ee00403a",2015,"journal-article"
"12257","10.1111/fcp.12118",2015,"journal-article"
"12258","10.3402/iee.v5.25334",2015,"journal-article"
"12259","10.1002/jcsm.12356",2018,"journal-article"
"12260","10.1021/acs.biochem.9b00967",2020,"journal-article"
"12261","10.1021/acsami.1c01725",2021,"journal-article"
"12262","10.1242/jcs.196253",2017,"journal-article"
"12263","10.1002/ecm.1279",2017,"journal-article"
"12264","10.1055/s-0039-1686612",2019,"proceedings-article"
"12265","10.1055/s-0039-1685621",2019,"proceedings-article"
"12266","10.1055/a-1274-9244",2021,"journal-article"
"12267","10.1021/acs.chemmater.7b03416",2017,"journal-article"
"12268","10.12659/pjr.895529",2016,"journal-article"
"12269","10.1111/lam.12452",2015,"journal-article"
"12270","10.1002/ente.201600805",2017,"journal-article"
"12271","10.13109/grup.2018.54.3.176",2018,"journal-article"
"12272","10.7287/peerj.preprints.2614v3",2019,"posted-content"
"12273","10.1111/maps.12727",2016,"journal-article"
"12274","10.1109/embc.2019.8856734",2019,"proceedings-article"
"12275","10.1080/19312458.2019.1708282",2020,"journal-article"
"12276","10.1116/1.4939101",2016,"journal-article"
"12277","10.1093/eurheartj/ehz117",2019,"journal-article"
"12278","10.1055/s-0039-3401104",2019,"proceedings-article"
"12279","10.1055/s-0040-1708160",2020,"proceedings-article"
"12280","10.1080/09603409.2018.1446705",2018,"journal-article"
"12281","10.1039/d0mt00158a",2020,"journal-article"
"12282","10.5220/0006925401600167",2018,"proceedings-article"
"12283","10.1002/cpt.2016",2020,"journal-article"
"12284","10.1515/cdbme-2019-0009",2019,"journal-article"
"12285","10.7554/elife.49187.028",2019,"peer-review"
"12286","10.21203/rs.3.rs-38882/v4",2020,"posted-content"
"12287","10.21203/rs.3.rs-38882/v2",2020,"posted-content"
"12288","10.1115/1.4048452",2020,"journal-article"
"12289","10.1111/vox.12549",2017,"journal-article"
"12290","10.1055/s-0037-1605306",2017,"proceedings-article"
"12291","10.1177/1045389x17754261",2018,"journal-article"
"12292","10.1080/00220388.2016.1228881",2016,"journal-article"
"12293","10.1177/0886260517739890",2017,"journal-article"
"12294","10.1055/a-0646-5901",2018,"journal-article"
"12295","10.1117/1.jpe.8.022601",2018,"journal-article"
"12296","10.1002/qua.26007",2019,"journal-article"
"12297","10.1155/2019/5075163",2019,"journal-article"
"12298","10.21203/rs.3.rs-38882/v1",2020,"posted-content"
"12299","10.21203/rs.3.rs-369927/v1",2021,"posted-content"
"12300","10.1002/eji.202170046",2021,"journal-article"
"12301","10.1111/jpn.13106",2019,"journal-article"
"12302","10.1177/0013164419878241",2019,"journal-article"
"12303","10.1021/acs.macromol.8b01494",2018,"journal-article"
"12304","10.1177/1120672118761333",2018,"journal-article"
"12305","10.1128/genomea.00803-17",2017,"journal-article"
"12306","10.1055/s-0040-1717590",2020,"proceedings-article"
"12307","10.1109/ecoc.2015.7341728",2015,"proceedings-article"
"12308","10.1111/aphw.12166",2019,"journal-article"
"12309","10.1089/ten.tec.2017.0118",2017,"journal-article"
"12310","10.1055/s-0039-1695246",2019,"proceedings-article"
"12311","10.1093/nar/gkz243",2019,"journal-article"
"12312","10.1177/2047487316671438",2016,"journal-article"
"12313","10.1021/acs.macromol.5b01666",2015,"journal-article"
"12314","10.1002/eji.201445313",2015,"journal-article"
"12315","10.1515/pm-2021-0016",2021,"journal-article"
"12316","10.2217/rme-2018-0016",2018,"journal-article"
"12317","10.1098/rsta.2020.0202",2021,"journal-article"
"12318","10.1002/hbm.23327",2016,"journal-article"
"12319","10.21203/rs.3.rs-49509/v1",2020,"posted-content"
"12320","10.1111/ddg.14149_g",2020,"journal-article"
"12321","10.1080/13504509.2016.1254689",2016,"journal-article"
"12322","10.1063/1.4976004",2017,"journal-article"
"12323","10.1093/nar/gky1183",2018,"journal-article"
"12324","10.1002/pssb.201670543",2016,"journal-article"
"12325","10.1021/acs.jmedchem.5b01970",2016,"journal-article"
"12326","10.1002/pssb.201600075",2016,"journal-article"
"12327","10.1042/bj20150148",2015,"journal-article"
"12328","10.1177/1363461520920329",2020,"journal-article"
"12329","10.1002/cite.201800122",2019,"journal-article"
"12330","10.7554/elife.49187",2019,"journal-article"
"12331","10.1111/jsap.12718",2017,"journal-article"
"12332","10.9738/intsurg-d-16-00041.1",2018,"journal-article"
"12333","10.1080/00268976.2016.1162864",2016,"journal-article"
"12334","10.1055/s-0039-3401239",2019,"proceedings-article"
"12335","10.1055/s-0039-3401271",2019,"proceedings-article"
"12336","10.1093/ejcts/ezz228",2019,"journal-article"
"12337","10.1096/fasebj.29.1_supplement.lb520",2015,"journal-article"
"12338","10.1111/acer.13361",2017,"journal-article"
"12339","10.1177/20406223211037830",2021,"journal-article"
"12340","10.1039/c8mh00853a",2018,"journal-article"
"12341","10.1155/2016/8325467",2016,"journal-article"
"12342","10.1002/pssb.201552407",2015,"journal-article"
"12343","10.3233/thc-161281",2017,"journal-article"
"12344","10.1515/pubhef-2015-0064",2015,"journal-article"
"12345","10.1055/s-0036-1597473",2016,"journal-article"
"12346","10.1080/1354750x.2017.1306754",2017,"journal-article"
"12347","10.1002/cbic.201700152",2017,"journal-article"
"12348","10.1093/ndt/gfaa142.p0031a",2020,"journal-article"
"12349","10.1039/c7ob01557g",2017,"journal-article"
"12350","10.1002/ange.201605752",2016,"journal-article"
"12351","10.1111/rda.12691",2016,"journal-article"
"12352","10.1002/ange.201806828",2018,"journal-article"
"12353","10.1111/vsu.13336",2019,"journal-article"
"12354","10.1055/s-0039-3401198",2019,"proceedings-article"
"12355","10.1126/sciadv.aba9428",2021,"journal-article"
"12356","10.1002/chem.201805595",2018,"journal-article"
"12357","10.1002/ejoc.201601225",2016,"journal-article"
"12358","10.1111/maps.13375",2019,"journal-article"
"12359","10.1111/jdv.15720",2019,"journal-article"
"12360","10.1002/chem.201502912",2015,"journal-article"
"12361","10.1093/nutrit/nuaa017",2020,"journal-article"
"12362","10.1021/acs.iecr.6b03596",2016,"journal-article"
"12363","10.1002/jcc.24896",2017,"journal-article"
"12364","10.1021/jacs.5b12950",2016,"journal-article"
"12365","10.1177/155698451801300313",2018,"journal-article"
"12366","10.1080/1354750x.2020.1716073",2020,"journal-article"
"12367","10.1111/bpa.12909",2020,"journal-article"
"12368","10.1002/ange.201908258",2019,"journal-article"
"12369","10.1111/exd.13326",2017,"journal-article"
"12370","10.1021/acscatal.0c04079",2020,"journal-article"
"12371","10.1002/adfm.201701837",2017,"journal-article"
"12372","10.5051/jpis.2016.46.2.72",2016,"journal-article"
"12373","10.1093/rheumatology/keaa260",2020,"journal-article"
"12374","10.1111/cmi.13322",2021,"journal-article"
"12375","10.1093/ehjci/jex185",2017,"journal-article"
"12376","10.1111/apha.12659",2016,"journal-article"
"12377","10.1155/2019/2304970",2019,"journal-article"
"12378","10.1080/03075079.2020.1716321",2020,"journal-article"
"12379","10.21203/rs.3.rs-38882/v3",2020,"posted-content"
"12380","10.1515/flih-2020-0008",2020,"journal-article"
"12381","10.1111/spol.12239",2016,"journal-article"
"12382","10.1080/00102202.2018.1516648",2018,"journal-article"
"12383","10.1002/tea.21453",2018,"journal-article"
"12384","10.1287/trsc.2017.0757",2019,"journal-article"
"12385","10.1128/genomea.00897-16",2016,"journal-article"
"12386","10.1039/d0sc03712e",2020,"journal-article"
"12387","10.1021/acs.est.8b02338",2018,"journal-article"
"12388","10.1002/jcph.1396",2019,"journal-article"
"12389","10.1055/s-0039-1686598",2019,"proceedings-article"
"12390","10.1145/2934872.2959083",2016,"proceedings-article"
"12391","10.1002/wcc.689",2020,"journal-article"
"12392","10.1152/ajpcell.00329.2014",2015,"journal-article"
"12393","10.1302/0301-620x.99b7.bjj-2016-0974.r1",2017,"journal-article"
"12394","10.1111/srt.12454",2018,"journal-article"
"12395","10.1021/jacs.8b03931",2018,"journal-article"
"12396","10.1002/chem.201604615",2016,"journal-article"
"12397","10.1002/ehf2.12606",2020,"journal-article"
"12398","10.1115/1.4034941",2016,"journal-article"
"12399","10.1002/pssb.201552274",2015,"journal-article"
"12400","10.1002/anie.201806828",2018,"journal-article"
"12401","10.1055/a-0868-3360",2019,"journal-article"
"12402","10.1002/er.5213",2020,"journal-article"
"12403","10.1002/cbic.202000173",2020,"journal-article"
"12404","10.1002/9783527806836.ch4",2018,"book-chapter"
"12405","10.1002/ange.201814340",2019,"journal-article"
"12406","10.1039/d1sc01901e",2021,"journal-article"
"12407","10.1039/d0cs00815j",2020,"journal-article"
"12408","10.1021/jacs.9b12899",2019,"journal-article"
"12409","10.1021/acsami.5b01949",2015,"journal-article"
"12410","10.1021/jacs.8b06432",2018,"journal-article"
"12411","10.1055/s-0037-1608060",2017,"proceedings-article"
"12412","10.1055/s-0039-1678868",2019,"proceedings-article"
"12413","10.1080/00015458.2019.1576448",2019,"journal-article"
"12414","10.1111/jfpe.13123",2019,"journal-article"
"12415","10.23919/icep.2017.7939387",2017,"proceedings-article"
"12416","10.22541/au.161257740.04269539/v1",2021,"posted-content"
"12417","10.1177/2472630319860775",2019,"journal-article"
"12418","10.1109/jlt.2018.2878362",2019,"journal-article"
"12419","10.1021/acs.jcim.9b00662",2019,"journal-article"
"12420","10.1039/c9tb00534j",2019,"journal-article"
"12421","10.15252/msb.156240",2015,"journal-article"
"12422","10.1002/rcm.7905",2017,"journal-article"
"12423","10.1055/s-0038-1640131",2018,"proceedings-article"
"12424","10.1039/c8ob02645a",2019,"journal-article"
"12425","10.1111/imr.12712",2018,"journal-article"
"12426","10.1093/ehjci/jeaa300",2020,"journal-article"
"12427","10.1002/2015gl067545",2016,"journal-article"
"12428","10.1097/imi.0000000000000502",2018,"journal-article"
"12429","10.5301/ijao.5000594",2017,"journal-article"
"12430","10.1063/1.4947102",2016,"journal-article"
"12431","10.1063/5.0042302",2021,"journal-article"
"12432","10.1002/ange.201608270",2016,"journal-article"
"12433","10.1055/s-0038-1671050",2018,"proceedings-article"
"12434","10.1002/rcm.8425",2019,"journal-article"
"12435","10.1002/cptc.201800209",2018,"journal-article"
"12436","10.1145/3197231.3197235",2018,"proceedings-article"
"12437","10.1002/ange.201802947",2018,"journal-article"
"12438","10.1080/00423114.2021.1965173",2021,"journal-article"
"12439","10.1177/1559325816637515",2016,"journal-article"
"12440","10.1111/jdv.13200",2015,"journal-article"
"12441","10.1145/2964791.2901476",2016,"journal-article"
"12442","10.2514/6.2019-2021",2019,"proceedings-article"
"12443","10.1055/s-0038-1640366",2018,"proceedings-article"
"12444","10.1214/20-aop1488",2021,"journal-article"
"12445","10.1177/1075547018819159",2018,"journal-article"
"12446","10.1080/10556788.2017.1335312",2017,"journal-article"
"12447","10.1002/pssb.202000471",2020,"journal-article"
"12448","10.1152/ajpheart.00746.2014",2015,"journal-article"
"12449","10.1093/ecco-jcc/jjz203.189",2020,"journal-article"
"12450","10.1530/eje-20-0231",2020,"journal-article"
"12451","10.1002/pip.2697",2015,"journal-article"
"12452","10.1039/c4sc03227f",2015,"journal-article"
"12453","10.1021/acs.inorgchem.8b02551",2018,"journal-article"
"12454","10.1063/1.4977707",2017,"journal-article"
"12455","10.1177/0363546518819102",2019,"journal-article"
"12456","10.1002/9781119143505.ch9",2017,"book-chapter"
"12457","10.1039/c6cp05915e",2016,"journal-article"
"12458","10.1055/s-0037-1605154",2017,"proceedings-article"
"12459","10.1002/chem.201701108",2017,"journal-article"
"12460","10.1111/apha.13632",2021,"journal-article"
"12461","10.1002/anie.201608270",2016,"journal-article"
"12462","10.1002/anie.201605752",2016,"journal-article"
"12463","10.1002/adma.201602547",2016,"journal-article"
"12464","10.1021/acs.est.6b00335",2016,"journal-article"
"12465","10.1002/celc.201600530",2017,"journal-article"
"12466","10.1002/jcc.24792",2017,"journal-article"
"12467","10.1039/c8cc01928b",2018,"journal-article"
"12468","10.1111/sji.12627",2017,"journal-article"
"12469","10.14220/9783737006316",2016,"book"
"12470","10.1055/s-0038-1667804",2018,"proceedings-article"
"12471","10.1111/cdoe.12287",2017,"journal-article"
"12472","10.1002/cptc.201800118",2018,"journal-article"
"12473","10.1055/s-0039-1688003",2019,"proceedings-article"
"12474","10.1111/bcp.14134",2020,"journal-article"
"12475","10.1093/bioinformatics/btaa271",2020,"journal-article"
"12476","10.1021/acs.organomet.6b00675",2016,"journal-article"
"12477","10.1002/chem.201504929",2016,"journal-article"
"12478","10.1163/15700666-12340181",2021,"journal-article"
"12479","10.2514/6.2015-1270",2015,"proceedings-article"
"12480","10.1111/plb.12318",2015,"journal-article"
"12481","10.1055/s-0037-1598481",2017,"journal-article"
"12482","10.1109/iww-bci.2015.7073030",2015,"proceedings-article"
"12483","10.1161/str.52.suppl_1.p322",2021,"journal-article"
"12484","10.1190/segam2015-5904309.1",2015,"proceedings-article"
"12485","10.1190/segam2016-13857145.1",2016,"proceedings-article"
"12486","10.1075/la.228.02sen",2016,"book-chapter"
"12487","10.32470/ccn.2018.1078-0",2018,"proceedings-article"
"12488","10.1026/2191-9186/a000424",2019,"journal-article"
"12489","10.1055/s-0040-1717927",2020,"proceedings-article"
"12490","10.1111/cars.12281",2020,"journal-article"
"12491","10.1145/3136755.3136805",2017,"proceedings-article"
"12492","10.1145/3465481.3465769",2021,"proceedings-article"
"12493","10.1002/solr.202100244",2021,"journal-article"
"12494","10.1002/ejhf.1431",2019,"journal-article"
"12495","10.1002/14651858.cd007745.pub3",2016,"journal-article"
"12496","10.1002/biot.201700341",2017,"journal-article"
"12497","10.1115/1.4041651",2018,"journal-article"
"12498","10.1145/2911151.2911161",2016,"proceedings-article"
"12499","10.1080/10705511.2014.937675",2015,"journal-article"
"12500","10.1177/2325967118s00021",2018,"journal-article"
"12501","10.5465/ambpp.2019.189",2019,"journal-article"
"12502","10.1190/segam2019-3216246.1",2019,"proceedings-article"
"12503","10.25039/x46.2019.op31",2019,"proceedings-article"
"12504","10.4028/www.scientific.net/amm.794.255",2015,"journal-article"
